Job Type,salary_minimum,salary_maximum,salary_band,salary_range,qualification_level,sector,role_category
Government,54060.0,54060.0,Medium,0.0,postgraduate,Government General,Engineer
Government,20000.0,25000.0,Low,5000.0,postgraduate,Education,Research
Government,40300.0,40300.0,Medium,0.0,undergraduate,Education,Engineer
Government,70000.0,250000.0,High,180000.0,doctorate,Government General,Managerial
Government,55300.0,55300.0,Medium,0.0,undergraduate,Government General,Other
Government,25000.0,31000.0,Low,6000.0,postgraduate,Education,Research
Government,20000.0,20000.0,Low,0.0,undergraduate,Banking,Other
Government,,,,,postgraduate,Education,Other
Government,70000.0,70000.0,High,0.0,undergraduate,Education,Other
Government,37000.0,37000.0,Medium,0.0,postgraduate,Education,Research
Government,67400.0,201200.0,Medium,133800.0,postgraduate,Government Admin,Assistant
Government,30000.0,30000.0,Medium,0.0,undergraduate,Government General,Other
Government,,,,,postgraduate,Education,Managerial
Government,56100.0,177500.0,Medium,121400.0,undergraduate,Education,Other
Government,40000.0,40000.0,Medium,0.0,postgraduate,Technical/Research,Other
Government,9000.0,9000.0,Low,0.0,undergraduate,Technical/Research,Entry Level
Government,9000.0,9000.0,Low,0.0,undergraduate,Government General,Engineer
Government,102300.0,120940.0,High,18640.0,postgraduate,Banking,Managerial
Government,10500.0,10500.0,Low,0.0,doctorate,Education,Academic
Government,25000.0,31000.0,Low,6000.0,postgraduate,Education,Research
Government,13500.0,13500.0,Low,0.0,undergraduate,Education,Entry Level
Government,,,,,undergraduate,Government Admin,Other
Government,90000.0,240000.0,High,150000.0,undergraduate,Government General,Managerial
Government,,,,,undergraduate,Government Admin,Assistant
Government,78800.0,209200.0,High,130400.0,doctorate,Government General,Other
Government,45000.0,45000.0,Medium,0.0,undergraduate,Education,Other
Government,37000.0,37000.0,Medium,0.0,postgraduate,Government General,Research
Government,67700.0,208700.0,Medium,141000.0,postgraduate,Education,Managerial
Government,37000.0,37000.0,Medium,0.0,undergraduate,Technical/Research,Engineer
Government,50000.0,83333.33333333333,Medium,33333.33333333333,undergraduate,Energy,Other
Government,102300.0,120940.0,High,18640.0,postgraduate,Banking,Managerial
Government,50000.0,50000.0,Medium,0.0,undergraduate,Banking,Other
Government,,,,,undergraduate,Education,Officer
Government,107916.66666666669,107916.66666666669,High,0.0,undergraduate,Government General,Officer
Government,57700.0,182400.0,Medium,124700.0,postgraduate,Government Admin,Academic
Government,,,,,postgraduate,Education,Research
Government,50000.0,70000.0,Medium,20000.0,postgraduate,Government General,Other
Government,35000.0,42000.0,Medium,7000.0,undergraduate,Education,Associate
Government,70000.0,70000.0,High,0.0,postgraduate,Government General,Other
Government,30000.0,37000.0,Medium,7000.0,undergraduate,Government General,Associate
Government,36000.0,36000.0,Medium,0.0,undergraduate,Government General,Engineer
Government,200000.0,200000.0,Very High,0.0,undergraduate,Government General,Other
Government,,,,,postgraduate,Banking,Other
Government,,,,,undergraduate,Banking,Officer
Government,37000.0,37000.0,Medium,0.0,postgraduate,Government General,Research
Government,42000.0,42000.0,Medium,0.0,undergraduate,Education,Associate
Government,10000.0,10000.0,Low,0.0,undergraduate,Government General,Other
Government,583333.3333333334,583333.3333333334,Very High,0.0,undergraduate,Banking,Officer
Government,61000.0,61000.0,Medium,0.0,doctorate,Education,Research
Government,56100.0,177500.0,Medium,121400.0,undergraduate,Energy,Entry Level
Government,65000.0,105000.0,Medium,40000.0,undergraduate,Government General,Other
Government,,,,,undergraduate,Banking,Medical
Government,7000.0,9000.0,Low,2000.0,undergraduate,Technical/Research,Entry Level
Government,,,,,undergraduate,PSU,Managerial
Government,3000.0,3500.0,Low,500.0,undergraduate,Education,Academic
Government,41800.0,132300.0,Medium,90500.0,postgraduate,Government Admin,Other
Government,60000.0,180000.0,Medium,120000.0,undergraduate,Government General,Entry Level
Government,35400.0,112400.0,Medium,77000.0,undergraduate,Education,Other
Government,666666.6666666666,666666.6666666666,Very High,0.0,undergraduate,Government General,Officer
Government,33750.0,33750.0,Medium,0.0,undergraduate,Government General,Engineer
Government,,,,,undergraduate,PSU,Other
Government,30000.0,110000.0,Medium,80000.0,undergraduate,Healthcare,Other
Government,37000.0,37000.0,Medium,0.0,postgraduate,Government General,Research
Government,,,,,postgraduate,PSU,Officer
Government,40000.0,140000.0,Medium,100000.0,postgraduate,Government General,Officer
Government,,,,,postgraduate,Education,Managerial
Government,,,,,undergraduate,Technical/Research,Assistant
Government,60000.0,180000.0,Medium,120000.0,undergraduate,Government General,Entry Level
Government,,,,,undergraduate,Government General,Other
Government,31000.0,31000.0,Medium,0.0,undergraduate,Education,Research
Government,20837.0,20837.0,Low,0.0,undergraduate,Government General,Entry Level
Government,90000.0,240000.0,High,150000.0,undergraduate,Government General,Managerial
Government,81100.0,183725.0,High,102625.0,undergraduate,Energy,Officer
Government,,,,,postgraduate,PSU,Managerial
Government,45700.0,45700.0,Medium,0.0,undergraduate,Healthcare,Other
Government,60000.0,60000.0,Medium,0.0,undergraduate,Education,Officer
Government,,,,,undergraduate,PSU,Other
Government,25000.0,37000.0,Low,12000.0,postgraduate,Education,Research
Government,150000.0,200000.0,Very High,50000.0,undergraduate,Government General,Officer
Government,31000.0,31000.0,Medium,0.0,postgraduate,Education,Associate
Government,9000.0,9000.0,Low,0.0,postgraduate,Education,Research
Government,50000.0,83333.33333333333,Medium,33333.33333333333,undergraduate,Energy,Research
Government,67700.0,67700.0,Medium,0.0,undergraduate,Education,Other
Government,65000.0,65000.0,Medium,0.0,undergraduate,Banking,Entry Level
Government,,,,,undergraduate,Education,Associate
Government,,,,,undergraduate,Government General,Other
Government,,,,,undergraduate,Education,Academic
Government,,,,,undergraduate,Education,Other
Government,75000.0,75000.0,High,0.0,postgraduate,Technical/Research,Associate
Government,40000.0,140000.0,Medium,100000.0,postgraduate,Government General,Managerial
Government,67700.0,67700.0,Medium,0.0,undergraduate,Government General,Other
Government,29000.0,72200.0,Low,43200.0,postgraduate,Education,Managerial
Government,15600.0,39100.0,Low,23500.0,undergraduate,Education,Other
Government,31000.0,31000.0,Medium,0.0,postgraduate,Education,Research
Government,9000.0,15000.0,Low,6000.0,undergraduate,Government General,Entry Level
Government,,,,,undergraduate,Government General,Entry Level
Government,110000.0,110000.0,High,0.0,undergraduate,Education,Other
Government,2000.0,2000.0,Low,0.0,postgraduate,Government General,Other
Government,70900.0,70900.0,High,0.0,undergraduate,Education,Academic
Government,80000.0,80000.0,High,0.0,undergraduate,Government General,Engineer
Government,60000.0,60000.0,Medium,0.0,undergraduate,Education,Other
Government,23600.0,23600.0,Low,0.0,undergraduate,Education,Assistant
Government,70000.0,220000.0,High,150000.0,undergraduate,Energy,Managerial
Government,45000.0,45000.0,Medium,0.0,postgraduate,Education,Other
Government,25000.0,25000.0,Low,0.0,postgraduate,Education,Associate
Government,,,,,undergraduate,Government General,Other
Government,14000.0,70000.0,Low,56000.0,undergraduate,Government General,Academic
Government,,,,,undergraduate,Government Admin,Officer
Government,97220.0,209445.0,High,112225.0,postgraduate,Energy,Managerial
Government,67000.0,67000.0,Medium,0.0,doctorate,Education,Associate
Government,48480.0,85920.0,Medium,37440.0,undergraduate,Banking,Officer
Government,80000.0,220000.0,High,140000.0,undergraduate,Energy,Managerial
Government,,,,,undergraduate,Banking,Officer
Government,35400.0,130400.0,Medium,95000.0,diploma,Healthcare,Other
Government,,,,,undergraduate,Banking,Managerial
Government,35400.0,112400.0,Medium,77000.0,undergraduate,Government General,Other
Government,90000.0,240000.0,High,150000.0,undergraduate,Government General,Engineer
Government,,,,,undergraduate,Government Admin,Other
Government,37000.0,42000.0,Medium,5000.0,postgraduate,Education,Research
Government,20000.0,20000.0,Low,0.0,postgraduate,Education,Other
Government,25000.0,25000.0,Low,0.0,postgraduate,Education,Associate
Government,50000.0,50000.0,Medium,0.0,undergraduate,Education,Other
Government,138300.0,138300.0,High,0.0,undergraduate,Education,Other
Government,160000.0,160000.0,Very High,0.0,undergraduate,Government General,Managerial
Government,28000.0,28000.0,Low,0.0,postgraduate,Government General,Other
Government,,,,,undergraduate,Banking,Entry Level
Government,28000.0,28000.0,Low,0.0,undergraduate,Education,Other
Government,58000.0,58000.0,Medium,0.0,doctorate,Education,Research
Government,1000.0,1000.0,Low,0.0,undergraduate,Judiciary,Other
Government,35400.0,112400.0,Medium,77000.0,postgraduate,Judiciary,Other
Government,67000.0,67000.0,Medium,0.0,undergraduate,Education,Engineer
Government,50000.0,70000.0,Medium,20000.0,undergraduate,Education,Other
Government,31000.0,31000.0,Medium,0.0,postgraduate,Government General,Research
Government,56100.0,177500.0,Medium,121400.0,other,Government General,Other
Government,80000.0,220000.0,High,140000.0,undergraduate,Government General,Managerial
Government,25000.0,31000.0,Low,6000.0,postgraduate,Education,Associate
Government,,,,,undergraduate,Banking,Managerial
Government,71000.0,90000.0,High,19000.0,school_level,Energy,Managerial
Government,,,,,undergraduate,Banking,Managerial
Government,76000.0,76000.0,High,0.0,undergraduate,Government General,Other
Government,35000.0,110000.0,Medium,75000.0,undergraduate,PSU,Assistant
Government,35000.0,35000.0,Medium,0.0,postgraduate,Education,Other
Government,,,,,undergraduate,Government General,Other
Government,,,,,undergraduate,Government General,Academic
Government,18536.0,18536.0,Low,0.0,undergraduate,Government General,Other
Government,,,,,other,Banking,Officer
Government,25000.0,100000.0,Low,75000.0,undergraduate,Education,Other
Government,,,,,postgraduate,Banking,Managerial
Government,,,,,undergraduate,Government General,Managerial
Government,,,,,postgraduate,Government Admin,Assistant
Government,,,,,postgraduate,Government General,Assistant
Government,24800.0,44960.0,Low,20160.0,other,Government General,Other
Government,70000.0,70000.0,High,0.0,postgraduate,Government General,Other
Government,,,,,undergraduate,PSU,Other
Government,,,,,postgraduate,Healthcare,Research
Government,56100.0,56100.0,Medium,0.0,undergraduate,Government Admin,Managerial
Government,70000.0,70000.0,High,0.0,undergraduate,Education,Other
Government,50000.0,160000.0,Medium,110000.0,undergraduate,Government General,Managerial
Government,,,,,undergraduate,PSU,Managerial
Government,56100.0,177500.0,Medium,121400.0,undergraduate,Healthcare,Officer
Government,,,,,other,Government General,Managerial
Government,46500.0,46500.0,Medium,0.0,undergraduate,PSU,Engineer
Government,3000.0,3000.0,Low,0.0,undergraduate,Government General,Research
Government,36445.0,36445.0,Medium,0.0,diploma,Government General,Officer
Government,80000.0,80000.0,High,0.0,undergraduate,Judiciary,Research
Government,63996.0,63996.0,Medium,0.0,other,Education,Assistant
Government,17391.666666666668,17391.666666666668,Low,0.0,diploma,Education,Other
Government,12000.0,12000.0,Low,0.0,undergraduate,Government General,Entry Level
Government,,,,,diploma,Government General,Other
Government,45000.0,45000.0,Medium,0.0,undergraduate,Education,Officer
Government,27500.0,27500.0,Low,0.0,undergraduate,Technical/Research,Other
Government,24050.0,64480.0,Low,40430.0,undergraduate,Banking,Associate
Government,,,,,undergraduate,Government General,Other
Government,22000.0,22000.0,Low,0.0,other,Technical/Research,Other
Government,,,,,school_level,Government General,Other
Government,,,,,undergraduate,PSU,Other
Government,,,,,school_level,Government General,Academic
Government,,,,,school_level,Government General,Other
Government,,,,,doctorate,Education,Assistant
Government,,,,,undergraduate,Banking,Assistant
Government,112400.0,112400.0,High,0.0,other,Healthcare,Other
Government,49000.0,49000.0,Medium,0.0,undergraduate,Banking,Officer
Government,,,,,undergraduate,Government General,Officer
Government,,,,,undergraduate,Government General,Other
Government,56100.0,56100.0,Medium,0.0,undergraduate,Technical/Research,Other
Government,,,,,diploma,Government Admin,Assistant
Government,3000.0,3000.0,Low,0.0,other,Government General,Medical
Government,,,,,undergraduate,Government General,Other
Government,,,,,undergraduate,Government Admin,Managerial
Government,,,,,other,Government General,Other
Government,9000.0,9000.0,Low,0.0,undergraduate,Government Admin,Entry Level
Government,56100.0,56100.0,Medium,0.0,undergraduate,Education,Assistant
Government,,,,,undergraduate,Government General,Managerial
Government,177500.0,177500.0,Very High,0.0,undergraduate,Education,Engineer
Government,,,,,other,Government General,Other
Government,,,,,other,PSU,Other
Government,,,,,undergraduate,Education,Academic
Government,40000.0,40000.0,Medium,0.0,other,Government General,Entry Level
Government,120000.0,120000.0,High,0.0,undergraduate,PSU,Managerial
Government,96765.0,96765.0,High,0.0,postgraduate,Government General,Officer
Government,132300.0,132300.0,High,0.0,undergraduate,PSU,Engineer
Government,25000.0,25000.0,Low,0.0,undergraduate,Education,Research
Government,108000.0,108000.0,High,0.0,other,Government General,Other
Government,,,,,postgraduate,Banking,Other
Government,9000.0,9000.0,Low,0.0,school_level,Government General,Entry Level
Government,105280.0,105280.0,High,0.0,undergraduate,Banking,Managerial
Government,,,,,other,Education,Other
Government,,,,,other,Education,Other
Government,9000.0,9000.0,Low,0.0,other,Government General,Entry Level
Government,23333.33333333333,23333.33333333333,Low,0.0,school_level,PSU,Entry Level
Government,17391.666666666668,17391.666666666668,Low,0.0,postgraduate,Education,Officer
Government,69100.0,69100.0,Medium,0.0,school_level,Government General,Other
Government,23333.33333333333,23333.33333333333,Low,0.0,undergraduate,Government General,Managerial
Government,,,,,school_level,Judiciary,Other
Government,,,,,school_level,Government General,Other
Government,93960.0,93960.0,High,0.0,other,Banking,Officer
Government,,,,,school_level,Government General,Other
Government,17991.666666666668,17991.666666666668,Low,0.0,postgraduate,Education,Other
Government,60000.0,60000.0,Medium,0.0,postgraduate,Government General,Other
Government,,,,,undergraduate,Government General,Assistant
Government,,,,,undergraduate,Government Admin,Other
Government,96720.0,96720.0,High,0.0,postgraduate,Banking,Assistant
Government,,,,,undergraduate,Education,Other
Government,,,,,other,Government General,Other
Government,35000.0,35000.0,Medium,0.0,other,Judiciary,Other
Government,,,,,undergraduate,Government Admin,Engineer
Government,9300.0,34800.0,Low,25500.0,undergraduate,Government Admin,Officer
Government,,,,,undergraduate,Banking,Officer
Government,54990.0,54990.0,Medium,0.0,undergraduate,Government General,Managerial
Government,38500.0,38500.0,Medium,0.0,diploma,Judiciary,Assistant
Government,,,,,undergraduate,Government Admin,Other
Government,,,,,other,Government Admin,Other
Government,23333.33333333333,23333.33333333333,Low,0.0,postgraduate,Government General,Managerial
Government,23333.33333333333,23333.33333333333,Low,0.0,diploma,PSU,Engineer
Government,,,,,undergraduate,Government Admin,Other
Government,31000.0,31000.0,Medium,0.0,undergraduate,Education,Research
Government,37400.0,154300.0,Medium,116900.0,postgraduate,Government Admin,Academic
Government,37000.0,37000.0,Medium,0.0,undergraduate,Education,Research
Government,,,,,undergraduate,Government General,Other
Government,,,,,undergraduate,Banking,Entry Level
Government,,,,,undergraduate,Banking,Other
Government,,,,,undergraduate,Healthcare,Officer
Government,,,,,school_level,Government Admin,Other
Government,,,,,undergraduate,Government Admin,Assistant
Government,,,,,school_level,Government Admin,Other
Government,18500.0,18500.0,Low,0.0,school_level,PSU,Other
Government,9000.0,9000.0,Low,0.0,diploma,Government General,Entry Level
Government,8000.0,8000.0,Low,0.0,diploma,PSU,Entry Level
Government,9000.0,9000.0,Low,0.0,undergraduate,PSU,Entry Level
Government,,,,,undergraduate,Banking,Entry Level
Government,,,,,undergraduate,Government General,Other
Government,,,,,undergraduate,Government Admin,Assistant
Government,100000.0,260000.0,High,160000.0,undergraduate,Government General,Other
Government,,,,,diploma,Energy,Managerial
Government,40000.0,40000.0,Medium,0.0,postgraduate,Education,Academic
Government,200000.0,200000.0,Very High,0.0,undergraduate,Energy,Engineer
Government,,,,,undergraduate,Government General,Engineer
Government,,,,,diploma,Government General,Entry Level
Government,25000.0,25000.0,Low,0.0,undergraduate,Government General,Managerial
Government,,,,,undergraduate,Education,Assistant
Government,,,,,undergraduate,Government Admin,Managerial
Government,,,,,undergraduate,Banking,Entry Level
Government,,,,,diploma,Energy,Engineer
Government,187500.0,187500.0,Very High,0.0,undergraduate,Government General,Managerial
Government,,,,,diploma,Government General,Academic
Government,,,,,other,Government General,Assistant
Government,,,,,undergraduate,Government General,Engineer
Government,9000.0,9000.0,Low,0.0,undergraduate,Energy,Entry Level
Government,67000.0,67000.0,Medium,0.0,other,Healthcare,Other
Government,,,,,undergraduate,Government General,Engineer
Government,,,,,school_level,Government Admin,Other
Government,47600.0,47600.0,Medium,0.0,undergraduate,Government Admin,Officer
Government,,,,,undergraduate,Government Admin,Other
Government,24000.0,30000.0,Low,6000.0,undergraduate,Education,Research
Government,,,,,undergraduate,Education,Officer
Government,25000.0,25000.0,Low,0.0,postgraduate,Education,Associate
Government,42000.0,42000.0,Medium,0.0,other,Government General,Other
Government,12500.0,12500.0,Low,0.0,undergraduate,Government General,Other
Government,80000.0,80000.0,High,0.0,postgraduate,Government General,Managerial
Government,140000.0,140000.0,High,0.0,other,PSU,Managerial
Government,,,,,undergraduate,Energy,Other
Government,78230.0,78230.0,High,0.0,undergraduate,Banking,Officer
Government,,,,,diploma,Government Admin,Engineer
Government,30000.0,120000.0,Medium,90000.0,undergraduate,Energy,Officer
Government,43660.0,43660.0,Medium,0.0,postgraduate,Education,Research
Government,,,,,other,PSU,Officer
Government,,,,,undergraduate,Government Admin,Other
Government,,,,,postgraduate,Education,Other
Government,75000.0,100000.0,High,25000.0,other,Government General,Other
Government,56000.0,56000.0,Medium,0.0,undergraduate,Education,Associate
Government,,,,,other,Banking,Managerial
Government,15028.0,15028.0,Low,0.0,diploma,Government General,Entry Level
Government,40000.0,40000.0,Medium,0.0,school_level,Education,Officer
Government,177500.0,177500.0,Very High,0.0,other,Government General,Other
Government,,,,,postgraduate,Government General,Entry Level
Government,,,,,undergraduate,Energy,Engineer
Government,25000.0,31000.0,Low,6000.0,undergraduate,Education,Associate
Government,,,,,postgraduate,Government General,Entry Level
Government,24500.0,24500.0,Low,0.0,school_level,Banking,Assistant
Government,160000.0,160000.0,Very High,0.0,diploma,Government General,Entry Level
Government,,,,,other,Education,Officer
Government,,,,,school_level,Government General,Other
Government,300000.0,300000.0,Very High,0.0,undergraduate,PSU,Managerial
Government,,,,,undergraduate,Banking,Entry Level
Government,30000.0,30000.0,Medium,0.0,undergraduate,Government General,Entry Level
Government,,,,,undergraduate,Government General,Entry Level
Government,,,,,other,Education,Officer
Government,,,,,other,PSU,Other
Government,,,,,undergraduate,Energy,Assistant
Government,78800.0,78800.0,High,0.0,other,Technical/Research,Officer
Government,,,,,other,Banking,Assistant
Government,35560.0,35560.0,Medium,0.0,undergraduate,Education,Other
Government,24800.0,24800.0,Low,0.0,other,Government General,Assistant
Government,18000.0,18000.0,Low,0.0,other,Education,Other
Government,25000.0,25000.0,Low,0.0,undergraduate,Education,Associate
Government,38250.0,38250.0,Medium,0.0,undergraduate,Energy,Assistant
Government,,,,,school_level,Government Admin,Other
Government,142400.0,142400.0,High,0.0,undergraduate,Judiciary,Other
Government,,,,,undergraduate,Government General,Academic
Government,,,,,school_level,Government General,Other
Government,56100.0,56100.0,Medium,0.0,undergraduate,Government General,Assistant
Government,18700.0,18700.0,Low,0.0,other,Government General,Managerial
Government,63000.0,63000.0,Medium,0.0,diploma,Healthcare,Other
Government,67700.0,67700.0,Medium,0.0,undergraduate,Education,Other
Government,,,,,undergraduate,Government Admin,Other
Government,142400.0,142400.0,High,0.0,other,Judiciary,Other
Government,,,,,undergraduate,Government Admin,Other
Government,80000.0,80000.0,High,0.0,undergraduate,Government General,Associate
Government,23000.0,23000.0,Low,0.0,diploma,Government General,Other
Government,,,,,undergraduate,Judiciary,Other
Government,60000.0,60000.0,Medium,0.0,other,Education,Managerial
Government,22200.0,86400.0,Low,64200.0,school_level,Government General,Other
Government,62600.0,62600.0,Medium,0.0,diploma,Government Admin,Engineer
Government,17391.666666666668,17391.666666666668,Low,0.0,undergraduate,Government General,Engineer
Government,,,,,school_level,Government Admin,Other
Government,,,,,undergraduate,Government Admin,Officer
Government,,,,,other,Education,Officer
Government,112400.0,112400.0,High,0.0,undergraduate,Judiciary,Officer
Government,112400.0,112400.0,High,0.0,school_level,Government General,Other
Government,,,,,school_level,Government General,Assistant
Government,14800.0,126600.0,Low,111800.0,school_level,Judiciary,Other
Government,,,,,school_level,Government General,Entry Level
Government,,,,,school_level,Government General,Managerial
Government,,,,,other,Education,Officer
Government,,,,,school_level,Government General,Other
Government,16767.75,16767.75,Low,0.0,undergraduate,PSU,Other
Government,,,,,undergraduate,Education,Associate
Government,74500.0,74500.0,High,0.0,other,Banking,Other
Government,44900.0,44900.0,Medium,0.0,undergraduate,Government Admin,Assistant
Government,81100.0,81100.0,High,0.0,undergraduate,Judiciary,Other
Government,,,,,other,Banking,Officer
Government,9000.0,9000.0,Low,0.0,diploma,Government General,Entry Level
Government,92300.0,92300.0,High,0.0,school_level,Government Admin,Other
Government,,,,,school_level,PSU,Managerial
Government,,,,,undergraduate,Judiciary,Assistant
Government,10500.0,10500.0,Low,0.0,other,Banking,Entry Level
Government,,,,,postgraduate,Government Admin,Other
Government,,,,,undergraduate,Government Admin,Other
Government,,,,,undergraduate,Government Admin,Other
Government,25500.0,25500.0,Low,0.0,undergraduate,Government General,Assistant
Government,35400.0,35400.0,Medium,0.0,other,Government General,Other
Government,54000.0,54000.0,Medium,0.0,undergraduate,Technical/Research,Other
Government,49860.0,49860.0,Medium,0.0,undergraduate,Government General,Engineer
Government,81100.0,81100.0,High,0.0,undergraduate,Judiciary,Other
Government,,,,,undergraduate,Government Admin,Officer
Government,20000.0,20000.0,Low,0.0,undergraduate,Education,Research
Government,45830.0,45830.0,Medium,0.0,other,Government Admin,Officer
Government,,,,,undergraduate,Government Admin,Other
Government,,,,,other,Government Admin,Officer
Government,,,,,other,Energy,Other
Government,40000.0,40000.0,Medium,0.0,undergraduate,Government General,Managerial
Government,86800.0,86800.0,High,0.0,undergraduate,Government Admin,Officer
Government,,,,,diploma,Government Admin,Engineer
Government,60500.0,60500.0,Medium,0.0,diploma,Government Admin,Engineer
Government,15000.0,20000.0,Low,5000.0,undergraduate,Education,Entry Level
Government,81100.0,81100.0,High,0.0,other,Judiciary,Assistant
Government,67000.0,67000.0,Medium,0.0,other,Education,Research
Government,,,,,diploma,Government General,Entry Level
Government,,,,,postgraduate,Banking,Managerial
Government,,,,,school_level,Government General,Entry Level
Government,,,,,other,Government General,Officer
Government,31000.0,31000.0,Medium,0.0,undergraduate,Education,Associate
Government,30000.0,30000.0,Medium,0.0,undergraduate,Judiciary,Research
Government,44900.0,44900.0,Medium,0.0,undergraduate,Judiciary,Other
Government,112400.0,112400.0,High,0.0,undergraduate,Judiciary,Other
Government,70000.0,70000.0,High,0.0,postgraduate,Healthcare,Other
Government,7000.0,7000.0,Low,0.0,diploma,Government General,Entry Level
Government,,,,,school_level,Government General,Other
Government,,,,,postgraduate,Education,Other
Government,,,,,postgraduate,Government General,Other
Government,42000.0,42000.0,Medium,0.0,school_level,Government General,Officer
Government,,,,,other,Government General,Other
Government,,,,,postgraduate,Education,Other
Government,,,,,other,Government General,Assistant
Government,9000.0,9000.0,Low,0.0,undergraduate,Education,Entry Level
Government,44900.0,142400.0,Medium,97500.0,other,Government General,Other
Government,62600.0,62600.0,Medium,0.0,diploma,Government Admin,Other
Government,,,,,undergraduate,Judiciary,Other
Government,,,,,undergraduate,Government Admin,Managerial
Government,,,,,undergraduate,Government Admin,Assistant
Government,5200.0,5200.0,Low,0.0,school_level,Government Admin,Other
Government,,,,,undergraduate,Judiciary,Other
Government,44900.0,44900.0,Medium,0.0,other,Government Admin,Other
Government,,,,,undergraduate,Government Admin,Academic
Government,,,,,undergraduate,Government Admin,Officer
Government,,,,,undergraduate,Government General,Managerial
Government,49000.0,49000.0,Medium,0.0,undergraduate,Education,Associate
Government,133333.33333333334,133333.33333333334,High,0.0,undergraduate,Government General,Engineer
Government,58000.0,58000.0,Medium,0.0,other,Education,Research
Government,20000.0,20000.0,Low,0.0,diploma,Government General,Other
Government,133333.33333333334,133333.33333333334,High,0.0,undergraduate,Government General,Engineer
Government,53100.0,53100.0,Medium,0.0,undergraduate,Government Admin,Assistant
Government,31000.0,31000.0,Medium,0.0,undergraduate,Education,Other
Government,31000.0,31000.0,Medium,0.0,other,Education,Assistant
Government,,,,,diploma,Government General,Entry Level
Government,9000.0,9000.0,Low,0.0,diploma,Energy,Engineer
Government,,,,,school_level,Government General,Officer
Government,,,,,diploma,Government General,Entry Level
Government,39300.0,39300.0,Medium,0.0,postgraduate,Judiciary,Assistant
Government,,,,,postgraduate,Education,Research
Government,12000.0,12000.0,Low,0.0,diploma,Education,Engineer
Government,15000.0,42000.0,Low,27000.0,undergraduate,Education,Other
Government,136520.0,136520.0,High,0.0,undergraduate,Judiciary,Other
Government,,,,,undergraduate,Education,Officer
Government,23340.0,23340.0,Low,0.0,undergraduate,Government General,Managerial
Government,56100.0,56100.0,Medium,0.0,undergraduate,Government General,Engineer
Government,,,,,undergraduate,Energy,Engineer
Government,67000.0,67000.0,Medium,0.0,school_level,Education,Assistant
Government,,,,,undergraduate,Education,Other
Government,58333.333333333336,58333.333333333336,Medium,0.0,undergraduate,Education,Other
Government,,,,,other,Education,Officer
Government,82900.0,82900.0,High,0.0,undergraduate,Government Admin,Other
Government,,,,,other,Government General,Academic
Government,25000.0,37000.0,Low,12000.0,postgraduate,Government General,Associate
Government,37000.0,37000.0,Medium,0.0,undergraduate,Education,Associate
Government,,,,,undergraduate,Education,Research
Government,65000.0,65000.0,Medium,0.0,postgraduate,Education,Managerial
Government,15000.0,15000.0,Low,0.0,undergraduate,Government General,Academic
Government,52500.0,52500.0,Medium,0.0,postgraduate,Education,Associate
Government,40000.0,60000.0,Medium,20000.0,other,Education,Managerial
Government,39370.0,39370.0,Medium,0.0,other,Education,Research
Government,150000.0,150000.0,Very High,0.0,undergraduate,PSU,Other
Government,5000.0,5000.0,Low,0.0,undergraduate,Education,Other
Government,,,,,undergraduate,Education,Research
Government,20000.0,20000.0,Low,0.0,diploma,PSU,Engineer
Government,,,,,undergraduate,Education,Associate
Government,115300.0,115300.0,High,0.0,diploma,Government Admin,Assistant
Government,17391.666666666668,17391.666666666668,Low,0.0,diploma,Government Admin,Officer
Government,23400.0,23400.0,Low,0.0,undergraduate,Education,Other
Government,16000.0,16000.0,Low,0.0,undergraduate,Technical/Research,Other
Government,20000.0,20000.0,Low,0.0,school_level,Education,Other
Government,28000.0,28000.0,Low,0.0,other,Healthcare,Other
Government,30520.0,30520.0,Medium,0.0,undergraduate,Education,Other
Government,42000.0,42000.0,Medium,0.0,postgraduate,Education,Other
Government,,,,,undergraduate,Government Admin,Other
Government,55000.0,55000.0,Medium,0.0,undergraduate,Energy,Managerial
Government,31000.0,31000.0,Medium,0.0,other,Education,Research
Government,31000.0,31000.0,Medium,0.0,undergraduate,Education,Research
Government,18000.0,18000.0,Low,0.0,school_level,Education,Other
Government,77840.0,136520.0,High,58680.0,other,Judiciary,Other
Government,,,,,undergraduate,Government Admin,Other
Government,,,,,undergraduate,Government Admin,Other
Government,,,,,school_level,Government General,Other
Government,9000.0,9000.0,Low,0.0,undergraduate,Energy,Entry Level
Government,30000.0,30000.0,Medium,0.0,undergraduate,Education,Assistant
Government,30000.0,30000.0,Medium,0.0,undergraduate,Education,Other
Government,112400.0,112400.0,High,0.0,undergraduate,Government Admin,Engineer
Government,25000.0,25000.0,Low,0.0,undergraduate,Education,Assistant
Government,30000.0,30000.0,Medium,0.0,undergraduate,Education,Research
Government,,,,,diploma,Government General,Engineer
Government,37000.0,42000.0,Medium,5000.0,other,Education,Research
Government,37000.0,37000.0,Medium,0.0,postgraduate,Education,Research
Government,100000.0,100000.0,High,0.0,undergraduate,Healthcare,Managerial
Government,25500.0,81100.0,Low,55600.0,other,Judiciary,Assistant
Government,31000.0,31000.0,Medium,0.0,undergraduate,Education,Research
Government,,,,,diploma,Government Admin,Other
Government,122800.0,122800.0,High,0.0,undergraduate,Government General,Other
Government,70000.0,70000.0,High,0.0,undergraduate,Government General,Officer
Government,,,,,undergraduate,Banking,Other
