Job Type,salary_minimum,salary_maximum,salary_band,salary_range,qualification_level,sector,role_category
Government,35400.0,209200.0,Medium,173800.0,postgraduate,Education,Research
Government,35400.0,208700.0,Medium,173300.0,undergraduate,Government General,Other
Government,40000.0,40000.0,Medium,0.0,undergraduate,Banking,Other
Government,,,,,undergraduate,Government General,Other
Government,,,,,undergraduate,Technical/Research,Assistant
Government,156500.0,210800.0,Very High,54300.0,undergraduate,Energy,Managerial
Government,17500.0,17500.0,Low,0.0,undergraduate,Government General,Entry Level
Government,1500.0,1500.0,Low,0.0,postgraduate,Education,Other
Government,80000.0,80000.0,High,0.0,postgraduate,Government General,Other
Government,30000.0,120000.0,Medium,90000.0,undergraduate,Energy,Other
Government,,,,,undergraduate,Government General,Managerial
Government,40400.0,130400.0,Medium,90000.0,undergraduate,Banking,Managerial
Government,44900.0,44900.0,Medium,0.0,postgraduate,Education,Other
Government,100000.0,100000.0,High,0.0,undergraduate,Education,Engineer
Government,60000.0,60000.0,Medium,0.0,undergraduate,Government General,Officer
Government,,,,,undergraduate,Government General,Officer
Government,2300.0,2300.0,Low,0.0,undergraduate,Government General,Other
Government,,,,,undergraduate,Government General,Other
Government,2800.0,2800.0,Low,0.0,undergraduate,Government Admin,Other
Government,35400.0,35400.0,Medium,0.0,postgraduate,Education,Research
Government,40000.0,140000.0,Medium,100000.0,undergraduate,Government General,Entry Level
Government,140000.0,140000.0,High,0.0,postgraduate,Government General,Entry Level
Government,65000.0,65000.0,Medium,0.0,undergraduate,Government General,Officer
Government,,,,,undergraduate,Government Admin,Assistant
Government,,,,,undergraduate,Government Admin,Other
Government,4567.0,4567.0,Low,0.0,undergraduate,Banking,Other
Government,,,,,undergraduate,Banking,Managerial
Government,67700.0,209200.0,Medium,141500.0,undergraduate,Technical/Research,Other
Government,37000.0,37000.0,Medium,0.0,postgraduate,Government General,Other
Government,85920.0,120940.0,High,35020.0,postgraduate,Banking,Managerial
Government,30000.0,30000.0,Medium,0.0,undergraduate,Banking,Other
Government,23340.0,42478.0,Low,19138.0,undergraduate,Government General,Managerial
Government,50000.0,50000.0,Medium,0.0,undergraduate,Government General,Entry Level
Government,23000.0,39000.0,Low,16000.0,undergraduate,Banking,Officer
Government,,,,,undergraduate,Government General,Officer
Government,,,,,undergraduate,Government General,Other
Government,,,,,undergraduate,Government Admin,Other
Government,,,,,undergraduate,Government General,Other
Government,,,,,postgraduate,Education,Other
Government,30000.0,120000.0,Medium,90000.0,undergraduate,Government General,Managerial
Government,17500.0,17500.0,Low,0.0,undergraduate,Government General,Entry Level
Government,9000.0,12300.0,Low,3300.0,undergraduate,Government General,Engineer
Government,100000.0,260000.0,High,160000.0,undergraduate,Government General,Other
Government,60000.0,60000.0,Medium,0.0,undergraduate,PSU,Officer
Government,47600.0,47600.0,Medium,0.0,undergraduate,PSU,Engineer
Government,19900.0,215900.0,Low,196000.0,doctorate,Education,Academic
Government,20000.0,20000.0,Low,0.0,undergraduate,Government General,Officer
Government,125000.0,125000.0,High,0.0,undergraduate,Government General,Managerial
Government,23340.0,23340.0,Low,0.0,undergraduate,Government General,Managerial
Government,28000.0,31000.0,Low,3000.0,postgraduate,Education,Research
Government,,,,,postgraduate,Education,Other
Government,,,,,undergraduate,Education,Other
Government,,,,,undergraduate,Government Admin,Engineer
Government,40000.0,180000.0,Medium,140000.0,undergraduate,Government General,Other
